Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/12/2021,2021,Pitcher X,Right,1,1,Left,2,0,1,CHANGEUP,82.57840541,6.771441271,12.08141627,6.673130714,0.83922178,5.900455206,1.928204573,1.1847858,1294.003876,224.9418459,0.491135955,0.314624459,0.154523384
4/12/2021,2021,Pitcher X,Right,1,1,Left,3,1,1,CHANGEUP,82.23046529,6.134175359,13.62931047,6.716841978,0.592953292,6.173106131,2.484960678,0.278084586,1245.013617,221.1399241,0.874821007,0.152030826,0.13299976
4/12/2021,2021,Pitcher X,Right,1,2,Left,1,0,0,FASTBALL,91.97915957,19.4466797,2.108141131,6.889006824,0.653426577,6.027730793,2.938643924,0.223451076,2127.553527,197.5468159,0.516337991,0.174908817,0.090312067
4/12/2021,2021,Pitcher X,Right,1,3,Right,1,0,0,FASTBALL,92.01096923,18.77563687,1.659053765,6.939039537,0.464643056,6.098567765,4.138704492,-0.225035232,2040.220249,198.9969438,0.067168266,0.451862663,0.030350831
4/12/2021,2021,Pitcher X,Right,1,3,Right,2,1,0,CUTTER,89.32856345,9.51189427,-3.537697123,6.829877602,0.53908987,6.078453894,1.158068919,0.295153729,2208.254773,173.6018007,0.170081362,0.547877073,0.093183679
4/12/2021,2021,Pitcher X,Right,1,3,Right,3,2,0,CUTTER,89.84035698,9.42771446,-3.138624063,6.883169292,0.461923606,6.059841516,2.006127532,0.165404752,2221.031749,174.5196676,0.680849552,0.078847423,0.053683233
4/12/2021,2021,Pitcher X,Right,1,4,Right,1,0,0,FASTBALL,93.226847,16.06420023,2.963642196,6.883135891,0.458744716,6.029311758,2.825516148,0.003261129,2016.290796,202.2019833,0.588154435,0.157903343,0.092871552
4/12/2021,2021,Pitcher X,Right,1,5,Left,1,0,0,CHANGEUP,83.61578001,6.711413381,13.12906644,6.709707138,0.694817161,6.039605936,2.140488082,0.572581345,1292.414095,217.0153713,0.632366538,0.298411369,0.188705365
4/12/2021,2021,Pitcher X,Right,1,6,Right,1,0,0,CUTTER,88.83309378,8.224378654,-2.720645734,6.873582558,0.400012207,6.0726875,2.854460192,-0.265198862,2319.880474,170.8384102,0.573580801,0.148869932,0.085388935
4/12/2021,2021,Pitcher X,Right,1,6,Right,2,0,1,CUTTER,88.12864321,4.205090178,-4.152524164,6.932092818,0.43816219,6.053718421,2.66461912,-0.406555721,2352.214355,152.1160626,0.89088273,0.18568112,0.165420103
4/12/2021,2021,Pitcher X,Right,2,1,Left,1,0,0,FASTBALL,92.49903906,19.62028513,1.332255026,6.908538794,0.495863165,6.163631312,2.005050639,-0.670870368,2151.702867,202.2894578,0.40567258,0.05459534,0.022147832
